物品ID,物品名称,显示名称,品质,分类,标签,描述,口径,最大堆叠,默认堆叠,单价,可堆叠,可使用,重量,耐久度
748,ComputingUnit,高性能计算单元,6,Special,Special,算力高达1EFLOPS。,,1,1,80000,否,否,4.00,0
749,BP_ComputingUnit,蓝图：高性能计算单元,0,Formula,Formula;Formula_Blueprint,用于研发高性能计算单元。,,1,1,50,否,否,0.10,0
750,Quest_HugeMotherBoard,大型主板,6,Quest,Quest,可以发挥高性能计算单元的全部性能。,,1,1,285,否,否,0.30,0
751,Quest_DogCollar,爱狗的项圈,9999,Quest,Quest,上面好像还残留了一些血迹。,,1,1,50,否,否,0.50,0
753,Quest_Blueprint_Thrusters_Encrypted,飞船推进器图纸（加密）,6,Quest,Quest,非常复杂，不是专业人士完全看不懂。,,1,1,100,否,否,0.20,0
754,Key_Card_JLabLv1,J-Lab一级凭证,3,SpecialKey,SpecialKey;Key;LockInDemo,J-Lab实验人员持有的一次性凭证，只能进入最外围的区域。,,1,1,2000,否,否,0.20,1
755,Key_Card_JLabLv2,J-Lab二级凭证,7,SpecialKey,SpecialKey;Key;LockInDemo,可以进入实验室的核心区域的一次性凭证。,,1,1,15000,否,否,0.20,1
756,Key_Card_JLabLv3,J-Lab三级凭证,9,SpecialKey,SpecialKey;Key;LockInDemo,拥有实验室最高权限的一次性凭证，可以进入实验室的机密区域。,,1,1,50000,否,否,0.20,1
757,Quest_ResearchDocument_Thrusters,矢量推进器研究日志,2,Quest,Quest,记录了矢量推进器实验进程，其中并没有写明实验结果，也没有看到推进器的图纸，但其余内容写的非常详细，让人觉得这人的记性不太好。,,1,1,1,否,否,0.20,0
758,Key_Eyeball_Jlab,矿长的虹膜信息,3,Special,Special,因为头没有被打爆，所以完好的保存了下来。,,1,1,300,否,否,0.20,0
759,Key_ThrusterResearcherHome,工棚钥匙,3,Key,Key;LockInDemo,用来打开建筑工地工棚的钥匙。,,1,1,101,否,否,0.20,0
760,Quest_Blueprint_NavigationSystem,导航系统图纸,6,Quest,Quest,飞船导航系统的图纸。,,1,1,100,否,否,0.20,0
761,Quest_StarMap1,星图,2,Quest,Quest,宇宙星图，但并不完整。,,1,1,1,否,否,0.20,0
762,Quest_StarMap2,星图碎片Part2,2,Quest,Quest,宇宙星图，但并不完整。,,1,1,1,否,否,0.20,0
763,Quest_StarMap3,星图碎片Part3,2,Quest,Quest,宇宙星图，但并不完整。,,1,1,1,否,否,0.20,0
764,Plastics,聚乙烯片,1,Tool,Tool;Special,很难降解的塑料碎片。,,100,1,21,是,否,0.02,0
765,DuctTape,胶带,1,Daily,Daily,胶带，用途广泛。,,5,1,84,是,否,0.20,0
766,Quest_Blueprint_DefenceShield_BlackMarket,宇宙级防御力场蓝图（加密）,6,Quest,Quest,超绝防护力，星际旅行必备！,,1,1,500,否,否,0.20,0
767,TransformDevice,能量重塑装置,999,Special,Special,能够重塑蛋清能量的特殊装置，原理不明，来源不明。,,1,1,500,否,否,1.50,0
768,EnergyBall,能源球,999,Special,Special,重塑后更容易被利用的蛋清能源，能量巨大，性质稳定。,,6,1,2500,是,否,0.20,0
769,EggWhiteEnergyPieces,蛋清能源碎片,2,Special,Special,从裂缝中溢出的物质，蕴含着巨大的能量，但很难直接利用。,,10,1,120,是,否,0.20,0
772,PoliceStick,警棍,1,Weapon,Weapon;MeleeWeapon;DontDropOnDeadInSlot,守卫用的警棍。,,1,1,175,否,否,0.78,0
774,Quest_Blueprint_ComputingUnit_Encrypted,高性能计算单元蓝图（加密）,6,Quest,Quest,用以开发高性能计算单元的蓝图，但被算法加密了，看不太懂。,,1,1,100,否,否,0.20,0
775,Quest_Power_ComputingUnit,5000w电源,5,Quest,Quest,电源侧面印了一个大大的红星。,,1,1,1,否,否,1.00,0
776,Muzzle_SHT_SIL_1,霰弹枪重型消音器,4,Accessory,Accessory;Muzzle;GunType_SHT,降低开枪时声响并提高散布控制的霰弹枪枪口，但会损失移动速度。,,1,1,2400,否,否,1.40,0
777,Stock_SNP_MOV_1,狙击枪快速枪托,999,Accessory,Accessory;Stock;GunType_SNP,大幅提高瞄准速度与机动性的狙击枪枪托。,,1,1,1100,否,否,0.70,0
778,Quest_Cooling_ComputingUnit,大型散热器,5,Quest,Quest,拥有巨大的散热鳍片以及风扇，但好像只有两根热管。,,1,1,1,否,否,1.00,0
779,Key_Farm_JLabStaffHome,家门钥匙01,2,Key,Key;LockInDemo,不知道是谁的家。,,1,1,200,否,否,0.20,0
780,Sniper_M700_Normal,M700,4,Weapon,Weapon;Gun;GunType_SNP;Western;Repairable,被广泛运用的狙击步枪。,SNP,1,1,8767,否,否,4.00,100
781,Sniper_Mosin_Normal,Mosin-Nagant,4,Weapon,Weapon;Gun;GunType_SNP;Repairable,经典耐用的狙击步枪，爆头伤害非常高。,SNP,1,1,7993,否,否,3.92,100
782,Sniper_SV98_Normal,SV98,5,Weapon,Weapon;Gun;GunType_SNP;Western;Repairable,各方面都非常优秀的狙击步枪，射程上更是相当突出。,SNP,1,1,13909,否,否,3.82,100
783,PST_TT33_Normal,TT-33,0,Weapon,Weapon;Gun;GunType_PST;Repairable,各方面性能都非常一般的制式手枪，但由于结构相当简单，所以价格相当便宜。,SMG,1,1,80,否,否,0.85,100
784,PST_PM_Normal,PM,1,Weapon,Weapon;Gun;GunType_PST;Repairable,轻巧便携的制式手枪。,SMG,1,1,241,否,否,0.83,100
785,MAG_Desert_Normal,沙漠之鹰,4,Weapon,Weapon;Gun;GunType_MAG;Western;Repairable,虽然是手枪的尺寸用的也是手枪的配件，但使用大威力的马格南弹药。,MAG,1,1,8620,否,否,2.00,100
786,BR_M1A_Normal,M1A,4,Weapon,Weapon;Gun;GunType_BR;Western;Repairable,M14的民用版本，射程远、精度高，但重量也较高。,BR,1,1,8450,否,否,4.25,100
787,BR_M14_Normal,M14,5,Weapon,Weapon;Gun;GunType_BR;Western;Repairable;LockInDemo,制式精准战斗步枪，虽然是半自动，但有很高的射速上限。,BR,1,1,11854,否,否,4.75,100
788,AR_MCXSpear_Normal,MCX Spear,6,Weapon,Weapon;Gun;GunType_BR;Western;Repairable;LockInDemo,自带火控系统的战斗步枪，除了贵，很难找到缺点。,BR,1,1,19826,否,否,3.45,100
790,ArmorLV1Fire,一级防火服,999,Armor,Armor;Equipment;Repairable;LockInDemo,强化了防火性能的护甲，虽然对于子弹的防护能力提升不多，但可以大幅降低受到的火伤害。,,1,1,575,否,否,2.00,55
791,Jacket,皮夹克,999,Armor,Armor;Equipment;Repairable,用坚固的皮革制作，虽然是民用的衣服，但足够防护一些劣等子弹。,,1,1,155,否,否,0.80,30
793,Formula_Injection_A,配方：黄针,3,Formula,Formula;Formula_Medic,可以大幅提高移动速度的针剂的配方。,,1,1,50,否,否,0.00,0
794,Formula_Injection_Weight,配方：负重针,3,Formula,Formula;Formula_Medic,可以大幅提高负重的针剂的配方。,,1,1,50,否,否,0.00,0
795,Key_HiddenWarehouse_RBHouse,民房钥匙,2,Key,Key,仓库区某处民房的钥匙。,,1,1,220,否,否,0.20,0
796,BP_ThermalVisionGoggles,蓝图：T-7热成像目镜,6,Formula,Formula;Formula_Blueprint,用于制造T-7热成像目镜的蓝图。,,1,1,50,否,否,0.10,0
797,Injection_StoneSkin,硬化针,3,Injector,Injector;Medic,使毛发与皮肤变硬，身体护甲提高0.5，持续120秒。,,3,1,648,是,是,0.20,0
798,Injection_Stamina,持久针,3,Injector,Injector;Medic,提高耐力回复并降低耐力消耗，但会加快水分的消耗，持续120秒。,,3,1,648,是,是,0.20,0
799,UVBulb2,紫外灯,2,Tool,Tool,可以发射紫外线的灯，一定程度上可以代替太阳光。,,20,1,761,是,否,0.36,0
800,Injection_MeleeDamage,近战针,3,Injector,Injector;Medic,大幅提高近战伤害，但持续时间很短，效用过了还会萎靡一段时间。,,3,1,670,是,是,0.20,0
801,Key_Card_Yellow,J-Lab门禁卡（黄）,7,Key,Key;ColorCard;LockInDemo,可以进入J-Lab中的特殊区域。,,1,1,123000,否,否,0.20,0
802,Key_Card_Red,J-Lab门禁卡（红）,7,Key,Key;ColorCard;LockInDemo,可以进入J-Lab中的特殊区域。,,1,1,202000,否,否,0.20,0
803,Key_Card_Green,J-Lab门禁卡（绿）,7,Key,Key;ColorCard;LockInDemo,可以进入J-Lab中的特殊区域。,,1,1,161300,否,否,0.20,0
804,Key_Card_Blue,J-Lab门禁卡（蓝）,7,Key,Key;ColorCard;LockInDemo,可以进入J-Lab中的特殊区域。,,1,1,135200,否,否,0.20,0
805,BP_VSS,蓝图：VSS,5,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：VSS。,,1,1,50,否,否,0.10,0
806,BP_ASVAL,蓝图：AS Val,5,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：AS Val。,,1,1,50,否,否,0.10,0
807,BP_DTMDR556,蓝图：DT MDR-556,4,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：DT MDR-556。,,1,1,50,否,否,0.10,0
808,BP_DTMDR762,蓝图：DT MDR-762,5,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：DT MDR-762。,,1,1,50,否,否,0.10,0
809,BP_MP7_Electric,蓝图：带电MP7,5,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：带电MP7。,,1,1,50,否,否,0.10,0
810,BP_PP19Bizon,蓝图：Bizon-2,3,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：Bizon-2。,,1,1,50,否,否,0.10,0
811,BP_PPSH,蓝图：PPSh,2,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：PPSh。,,1,1,50,否,否,0.10,0
812,BP_SR3M,蓝图：SR-3M,3,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：SR-3M。,,1,1,50,否,否,0.10,0
813,BP_Vector9,蓝图：Vector,3,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：Vector。,,1,1,50,否,否,0.10,0
814,BP_M700,蓝图：M700,4,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：M700。,,1,1,50,否,否,0.10,0
815,BP_Mosin,蓝图：Mosin-Nagant,4,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：Mosin-Nagant。,,1,1,50,否,否,0.10,0
816,BP_SV98,蓝图：SV98,5,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：SV98。,,1,1,50,否,否,0.10,0
817,BP_TT33,蓝图：TT-33,0,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：TT-33。,,1,1,50,否,否,0.10,0
818,BP_PM,蓝图：PM,1,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：PM。,,1,1,50,否,否,0.00,0
819,BP_Desert,蓝图：沙漠之鹰,4,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：沙漠之鹰。,,1,1,50,否,否,0.10,0
820,BP_M1A,蓝图：M1A,4,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：M1A。,,1,1,50,否,否,0.10,0
821,BP_M14,蓝图：M14,5,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：M14。,,1,1,50,否,否,0.10,0
822,BP_MCXSpear,蓝图：MCX Spear,6,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：MCX Spear。,,1,1,50,否,否,0.10,0
823,Quest_BlueprintPieces_MF_1,MF蓝图碎片1,4,Quest,Quest,用于研发步枪：MF的蓝图碎片。,,1,1,50,否,否,0.20,0
824,Quest_BlueprintPieces_MF_2,MF蓝图碎片2,4,Quest,Quest,用于研发步枪：MF的蓝图碎片。,,1,1,50,否,否,0.20,0
825,Quest_BlueprintPieces_MF_3,MF蓝图碎片3,4,Quest,Quest,用于研发步枪：MF的蓝图碎片。,,1,1,50,否,否,0.20,0
826,Key_Card_ SouthFactory,南厂区钥匙卡,4,Key,Key,南厂区员工的门禁卡。,,1,1,3987,否,否,0.20,0
827,Key_MysteryX,神秘钥匙X,6,SpecialKey,SpecialKey;Key,一把神秘的钥匙，上面刻着奇怪的符号，看上去像字母X。,,1,1,151675,否,否,0.20,10
828,Key_MysteryO,神秘钥匙O,6,SpecialKey,SpecialKey;Key,一把神秘的钥匙，上面刻着奇怪的符号，看上去像字母O。,,1,1,253228,否,否,0.20,10
829,Key_MysteryZ,神秘Z钥匙,9,SpecialKey,SpecialKey;Key,一把神秘的钥匙，上面刻着奇怪的符号，看上去像字母Z。,,1,1,104748,否,否,0.20,10
830,BP_NightVisionGoggles,蓝图：夜视仪,5,Formula,Formula;Formula_Blueprint,用于制造夜视仪的蓝图。,,1,1,50,否,否,0.10,0
831,Key_Farm_SuperMarketSmallRoom,超市隔间钥匙,4,Key,Key;LockInDemo,农场镇超市中小隔间的钥匙。,,1,1,1688,否,否,0.20,0
832,Key_Farm_RestaurantSmallRoom,餐厅隔间钥匙,3,Key,Key;LockInDemo,农场镇餐厅中小隔间的钥匙。,,1,1,801,否,否,0.20,0
833,UniversalGlueA,万能胶A,3,Daily,Daily;Tool,能够粘合一切的胶水，但需要与万能胶B配合使用才能发挥效用。,,1,1,844,否,否,0.42,0
834,UniversalGlueB,万能胶B,3,Daily,Daily;Tool,能够粘合一切的胶水，但需要与万能胶A配合使用才能发挥效用。,,1,1,826,否,否,0.38,0
835,Quest_DeliverBox_DestoryOnBase,快递,1,Quest,Quest;DestroyInBase,赶紧送到收货人那！可别带回基地了！,,1,1,1,否,否,0.20,0
836,KeyRing,钥匙包,5,Continer,Continer,可以放八把钥匙。,,1,1,13964,否,否,0.73,0
837,Magazine_BR_ADS_1,BR快速弹匣I,2,Accessory,Accessory;Magazine;GunType_BR,提高瞄准速度的BR弹匣。,,1,1,500,否,否,0.13,0
838,Magazine_BR_ADS_2,BR快速弹匣II,3,Accessory,Accessory;Magazine;GunType_BR,大幅提高瞄准速度的BR弹匣。,,1,1,1100,否,否,0.15,0
839,Magazine_BR_CAP_1,BR扩容弹匣I,2,Accessory,Accessory;Magazine;GunType_BR,提高枪械载弹量的BR弹匣。,,1,1,500,否,否,0.18,0
840,Magazine_BR_CAP_2,BR扩容弹鼓II,3,Accessory,Accessory;Magazine;GunType_BR,大幅提高枪械载弹量的BR弹匣。,,1,1,1100,否,否,0.58,0
841,Xing,麻布头套,2,FaceMask,FaceMask;Equipment;DecorateEquipment;Repairable,说是头套，其实是个麻袋，有人在上面写了个大大的“兴”字。,,1,1,600,否,否,0.30,30
842,Formula_UVBulb2,配方：紫外灯,99,Formula,Formula;Formula_Blueprint,在工作台制作紫外灯的配方。,,1,1,0,否,否,0.20,0
843,Formula_Drum1,配方：红色大桶,99,Formula,Formula;Formula_Blueprint,在工作台制作红色大桶的配方。,,1,1,0,否,否,0.20,0
844,Formula_Drum2,配方：蓝色大桶,99,Formula,Formula;Formula_Blueprint,在工作台制作蓝色大桶的配方。,,1,1,0,否,否,0.20,0
845,Formula_Drum3,配方：黄色大桶,99,Formula,Formula;Formula_Blueprint,在工作台制作黄色大桶的配方。,,1,1,0,否,否,0.20,0
846,Formula_Drum4,配方：金属油桶,99,Formula,Formula;Formula_Blueprint,在工作台制作金属大桶的配方。,,1,1,0,否,否,0.20,0
848,Blindfold,遮眼布,4,FaceMask,FaceMask;Equipment;DecorateEquipment;Repairable,以眼盲，换明心。,,1,1,4399,否,否,0.10,30
849,BoatTicket,船票,4,SpecialKey,SpecialKey;Key;LockInDemo,往返于零号区下水道与农场镇码头的船票。,,1,1,5000,否,否,0.10,1
850,Bullet_Enemy_Piercing1,*Item_Bullet_Enemy_Piercing1*,1,Bullet,Bullet;DestroyOnLootBox,*Item_Bullet_Enemy_Piercing1_Desc*,Enemy,180,30,4,是,否,0.02,0
851,Bullet_Enemy_Piercing2,*Item_Bullet_Enemy_Piercing2*,2,Bullet,Bullet;DestroyOnLootBox,*Item_Bullet_Enemy_Piercing2_Desc*,Enemy,180,30,4,是,否,0.02,0
852,Bullet_Enemy_Piercing3,*Item_Bullet_Enemy_Piercing3*,3,Bullet,Bullet;DestroyOnLootBox,*Item_Bullet_Enemy_Piercing3_Desc*,Enemy,180,30,4,是,否,0.02,0
853,Bullet_Enemy_Piercing4,*Item_Bullet_Enemy_Piercing4*,4,Bullet,Bullet;DestroyOnLootBox,*Item_Bullet_Enemy_Piercing4_Desc*,Enemy,180,30,4,是,否,0.02,0
854,Bullet_Enemy_Piercing5,*Item_Bullet_Enemy_Piercing5*,5,Bullet,Bullet;DestroyOnLootBox,*Item_Bullet_Enemy_Piercing5_Desc*,Enemy,180,30,4,是,否,0.02,0
855,Bullet_Enemy_Piercing6,*Item_Bullet_Enemy_Piercing6*,6,Bullet,Bullet;DestroyOnLootBox,*Item_Bullet_Enemy_Piercing6_Desc*,Enemy,180,30,4,是,否,0.02,0
856,Injection_StormProtection1,弱效空间风暴防护针,4,Injector,Injector;Medic,可以抵御风暴早期扰动的针剂，持续180秒，配合防护装备使用，则可以抵御风暴。,,3,1,2359,是,是,0.20,0
857,Injection_StormProtection2,测试用空间风暴防护针,999,Injector,Injector;Medic,测试用的强效空间针剂，可以抵抗扭曲，持续120秒。,,3,1,26555,是,是,0.20,0
858,ArmorLV4StormProtection,空间防护服,5,Armor,Armor;Equipment;Special;Repairable,经过J-Lab特殊改造的衣服，单独穿着就可以抵抗空间扰动，如果凑成一套，甚至可以抵抗空间扭曲。,,1,1,6636,否,否,6.60,100
859,HelmatLV3StormProtection,空间防护头盔,5,Helmat,Helmat;Equipment;Special;Repairable,经过J-Lab特殊改造的头盔，单独穿着就可以抵抗空间扰动，如果凑成一套，甚至可以抵抗空间扭曲。,,1,1,3248,否,否,3.10,55
860,SpaceCrystal,空间晶体,9,Special,Special,只有在空间风暴中才会出现的晶体，J-Lab曾对其做过长期研究，有传言他们的飞船技术就来源于此。,,10,1,1200,是,否,0.50,0
861,WeaponPartsPolluted,被污染的武器零件,9,Tool,Tool,被空间风暴侵蚀的武器零件，但对于某些特殊的枪械来说是必不可少的材料。,,50,1,1520,是,否,0.30,0
862,AR_AK47_Fire,带火AK-47,9,Weapon,Weapon;Gun;GunType_AR;Special;Repairable,被空间风暴侵蚀的AK，觉醒了特殊的属性。,AR,1,1,3550,否,否,4.30,120
863,BP_AR_AK47_Fire,蓝图：带火AK47,5,Formula,Formula;Formula_Blueprint,用于在高级工作台研发武器：带火AK-47。,,1,1,50,否,否,0.20,0
864,GunPowder,火药,1,Special,Special,易燃危险！,,900,30,2,是,否,0.00,0
865,Formula_Dynamite,配方：管状炸弹,99,Formula,Formula;Formula_Blueprint,在工作台制作管状炸弹的配方。,,1,1,1000,否,否,0.10,0
866,Formula_DynamiteMultiple,配方：集束管状炸弹,99,Formula,Formula;Formula_Blueprint,在工作台制作集束管状炸弹的配方。,,1,1,200000,否,否,0.10,0
867,BP_GLick,蓝图：Glick,0,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：格力克。,,1,1,0,否,否,0.00,0
868,DemoChallengeTicket,挑战船票,6,SpecialKey,SpecialKey;Key,九死一生，一旦倒在那，掉落的东西会被立马收走，一件不剩。,,1,1,10000,否,否,0.10,1
869,ARR_BurstBow_Normal,连珠弓,7,Weapon,Weapon;Gun;GunType_ARR;Repairable,可以一次性射出三支箭的弓，咻咻咻！,ARR,1,1,36630,否,否,3.00,100
870,Bullet_ARR_Piercing2,低级穿甲箭,4,Bullet,Bullet,能够穿透低级护甲的防护的箭矢。,ARR,30,10,95,是,否,0.10,0
871,Bullet_ARR_Piercing4,中级穿甲箭,6,Bullet,Bullet,能够穿透中级护甲的防护的箭矢。,ARR,30,10,315,是,否,0.10,0
872,Injection_RecoilControl,强翅针,5,Injector,Injector;Medic,短时间内强化翅膀力量，提高后坐力与散布控制能力，持续60秒。,,3,1,6827,是,是,0.20,0
873,Formula_WeaponPartsPolluted,配方：被污染的武器零件,99,Formula,Formula;Formula_Blueprint,在工作台制作被污染的武器零件的配方。,,1,1,1000,否,否,0.00,0
874,Formula_ContinerL,配方：大扩容箱,99,Formula,Formula;Formula_Blueprint,在工作台制作大扩容箱的配方。,,1,1,768,否,否,0.10,0
875,Injection_Healing,恢复针,2,Injector,Injector;Medic,每秒恢复血量，持续30秒。,,3,1,875,是,是,0.20,0
876,SHT_MP155M_Normal,MP-155 ULTIMA,7,Weapon,Weapon;Gun;GunType_SHT;Special;Repairable,现代化版本的MP-155，几乎在所有方面都有提升。,SHT,1,1,6842,否,否,3.30,100
877,BP_MP155M,蓝图：MP-155 ULTIMA,7,Formula,Formula;Formula_Blueprint,用于在工作台研发武器：MP-155 ULTIMA。,,1,1,49998,否,否,0.10,0
878,mushroom,蘑菇,7,Food,Food,红伞伞，白杆杆。,,3,1,444,是,是,0.10,0
879,EGun_Magic_Ring,???,9,Weapon,Weapon;Gun;DestroyOnLootBox,???,Enemy,1,1,284,否,否,4.00,50
880,PaperBoxArmor,*Item_PaperBoxArmor*,999,Armor,Armor;Continer;Repairable,*Item_PaperBoxArmor_Desc*,,1,1,565,否,否,0.40,15
881,PaperBox,纸箱子,2,Continer,Continer,足够大的纸箱子。,,4,1,565,是,是,0.30,0
882,InjectionBag,注射器收纳包,9,Medic,Medic;Continer,可以装6种针，用的时候需要把针拿出来。,,1,1,29765,否,否,0.50,0
883,ProteinPowder,蛋白粉,3,Food,Food,从鸭蛋中浓缩提取，是健身鸭们的好朋友。,,1,1,470,否,否,1.02,0
884,Formula_ProteinPowder,配方：蛋白粉,99,Formula,Formula;Formula_Blueprint,在工作台制作蛋白粉的配方。,,1,1,655,否,否,0.20,0
885,ArmorLV6,六级防弹衣,6,Armor,Armor;Equipment;Western;Repairable,能提供无与伦比的防护力，但十分沉重。,,1,1,10358,否,否,7.61,150
886,Key_Card_Black,J-Lab门禁卡（黑）,7,Key,Key;ColorCard;LockInDemo,可以进入J-Lab中的特殊区域。,,1,1,135800,否,否,0.20,0
887,Key_Card_Purple,J-Lab门禁卡（紫）,7,Key,Key;ColorCard;LockInDemo,可以进入J-Lab中的特殊区域。,,1,1,191900,否,否,0.20,0
888,Apple,苹果,2,Crop,Crop;Food,一天一苹果。,,3,1,333,是,否,0.18,0
889,Helmat_Vida,维达头盔,9,Helmat,Helmat;Equipment;Western;Repairable;Special,维达的头盔，里头有点闷，视野也不太好。,,1,1,4444,否,否,2.14,70
890,BlackDogTag,狗牌,2,Special,Special,雇佣兵身上带着的身份识别牌，但好像都是一样的。,,10,1,1000,是,否,0.15,0
891,Helmat_Roadblock,路障头盔,7,Helmat,Helmat;Equipment;Western;Repairable,不知道为什么，反正它就叫这个名字。,,1,1,16788,否,否,3.80,70
892,EnemyGun_RoadBlock_Rifle,???,9,Weapon,Weapon;Gun;DestroyOnLootBox,???,Enemy,1,1,218,否,否,4.00,50
893,AnimalWeapon_Invisable,空手,9,Weapon,Weapon;MeleeWeapon;DestroyOnLootBox,*Item_AnimalWeapon_Desc*,,1,1,175,否,否,3.00,0
894,Armor_SBossPhysical_ResPoison,噗咙防弹衣,7,Armor,Armor;Equipment;Special;Repairable,实验体噗咙噗咙穿着的防弹衣。噗咙噗咙的这套装备对物理和毒属性有很好的防御能力，但对其他属性的防护能力都非常堪忧。,,1,1,8295,否,否,6.20,150
895,Helmat_SBossPhysical_ResPoison,噗咙头盔,7,Helmat,Helmat;Equipment;Special;Repairable,实验体噗咙噗咙穿着的头盔。噗咙噗咙的这套装备对物理和毒属性有很好的防御能力，但对其他属性的防护能力都非常堪忧。,,1,1,4060,否,否,1.80,85
896,Armor_SBossPoison_LowDurResFire,咕噜防弹衣,7,Armor,Armor;Equipment;Special;Repairable,实验体咕噜咕噜穿着的防弹衣。咕噜咕噜的这套装备防护能力很强且对火和毒属性有很好的防御能力，但耐久度相当堪忧且极易被电属性伤害。,,1,1,8295,否,否,6.20,70
897,Helmat_SBossPoison_LowDurResFire,咕噜头盔,7,Helmat,Helmat;Equipment;Special;Repairable,实验体咕噜咕噜穿着的头盔。咕噜咕噜的这套装备防护能力很强且对火和毒属性有很好的防御能力，但耐久度相当堪忧且极易被电属性伤害。,,1,1,4060,否,否,1.80,40
898,EGun_StormBoss_1_BreakArmor,???,9,Weapon,Weapon;Gun;DestroyOnLootBox,???,SMG,1,1,284,否,否,4.00,50
899,EGun_StormBoss_2_Poison,*Item_EGun_StormBoss_2_Poison*,9,Weapon,Weapon;Gun;DestroyOnLootBox,*Item_EGun_StormBoss_2_Poison_Desc*,Enemy,1,1,284,否,否,4.00,50
900,EGun_StormBoss_3_Fire,*Item_EGun_StormBoss_3_Fire*,9,Weapon,Weapon;Gun;DestroyOnLootBox,*Item_EGun_StormBoss_3_Fire_Desc*,Enemy,1,1,284,否,否,4.00,50
901,EGun_StormBoss_4_Electric,*Item_EGun_StormBoss_4_Electric*,9,Weapon,Weapon;Gun;DestroyOnLootBox,*Item_EGun_StormBoss_4_Electric_Desc*,Enemy,1,1,284,否,否,4.00,50
902,EGun_StormBoss_5_Space,???,9,Weapon,Weapon;Gun;DestroyOnLootBox,*Item_EGun_StormBoss_5_Space_Desc*,Enemy,1,1,284,否,否,4.00,50
908,Armor_SBossFire_ResElec,啪啦防弹衣,7,Armor,Armor;Equipment;Special;Repairable,实验体啪啦啪啦穿着的防弹衣。啪啦啪啦的这套装备对火和电属性有很好的防御能力，但极易被毒属性伤害。,,1,1,8295,否,否,6.20,150
909,Armor_SBossElec_ResSpace,比利防弹衣,7,Armor,Armor;Equipment;Special;Repairable,实验体比利比利穿着的防弹衣。比利比利的这套装备对电和空间属性有很好的防御能力，但极易被火属性伤害。,,1,1,8295,否,否,6.20,150
910,Armor_SBossSpace,口口防弹衣,7,Armor,Armor;Equipment;Special;Repairable,*Item_Armor_SBossSpace_Desc*,,1,1,8295,否,否,6.20,150
911,Helmat_SBossFire_ResElec,啪啦头盔,7,Helmat,Helmat;Equipment;Special;Repairable,实验体啪啦啪啦穿着的头盔。啪啦啪啦的这套装备对火和电属性有很好的防御能力，但极易被毒属性伤害。,,1,1,4060,否,否,1.80,85
912,Helmat_SBossElec_ResSpace,比利头盔,7,Helmat,Helmat;Equipment;Special;Repairable,实验体比利比利穿着的头盔。比利比利的这套装备对电和空间属性有很好的防御能力，但极易被火属性伤害。,,1,1,4060,否,否,1.80,85
913,Helmat_SBossSpace,口口头盔,7,Helmat,Helmat;Equipment;Special;Repairable,*Item_Helmat_SBossSpace_Desc*,,1,1,4060,否,否,1.80,85
914,PST_StormBoss_Poison,咕噜枪,9,Weapon,Weapon;Gun;GunType_PST;Special;Repairable,伤害虽然不高，但非常容易让命中的目标中毒。,PWS,1,1,12087,否,否,0.52,100
915,BR_Storm_Space,风暴枪,9,Weapon,Weapon;Gun;GunType_BR;Special;Repairable;LockInDemo,凝结了J-lab对于风暴的几乎所有研究。,PWL,1,1,31406,否,否,2.76,100
916,MG_StormBoss_Fire,啪啦枪,9,Weapon,Weapon;Gun;GunType_AR;Special;Repairable,载弹量相当巨大，有极强的火力压制能力。,PWL,1,1,16364,否,否,4.64,100
917,SHT_StormBoss_Elec,比利枪,9,Weapon,Weapon;Gun;GunType_SHT;Special;Repairable,带着强力的电流，发出哔哩哔哩的声音。,PWL,1,1,17618,否,否,2.64,100
918,Bullet_PWL_L,大型能量弹,9,Bullet,Bullet,为大型能量枪提供能量。,PWL,200,30,50,是,否,0.02,0
919,TestSeed,测试种子,999,Seed,Seed,能种出苹果、胡萝卜、土豆。,,1,1,89,否,否,0.05,0
920,ArmorLV5StormProtection,空间防护服终极版,7,Armor,Armor;Equipment;Special;Repairable,J-lab空间防护服反复迭代后的最终产品。在保证原有抵抗风暴的性能同时，大幅提高了其防护性能与空间伤害的防护能力且每1秒会清除身上一层碎裂。,,1,1,8295,否,否,6.60,150
